,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
0,0,27-07-76 19:42,China,39.605,117.888,16.7,7.6 Mw ,655237.0,655237.0,242800.0,242000.0,,655237.0
1,1,08-10-05 03:50,Pakistan,34.465,73.584,23.1,7.6 Mw ,87351.0,87351.0,,73338.0,,87351.0
2,2,12-05-08 06:28,China,31.002,103.322,19,7.9 Mw ,69195.0,88287.0,,87476.0,,88287.0
3,3,20-06-90 21:00,Iran,37.001,49.216,17.9,7.4 Mw ,45000.0,45000.0,35000.0,40000.0,,45000.0
4,4,26-12-03 01:56,Iran,28.95,58.268,6,6.6 Mw ,31000.0,31000.0,,26796.0,26271.0,31000.0
5,5,07-12-88 07:41,Armenia,40.919,44.118,6.7,6.7 Mw ,25000.0,25000.0,25000.0,25000.0,,25000.0
6,6,04-02-76 09:01,Guatemala,15.296,-89.145,12.3,7.5 Mw ,23000.0,23000.0,22870.0,23000.0,,23000.0
7,7,26-01-01 03:16,India,23.402,70.287,23.3,7.6 Mw ,20023.0,20023.0,20023.0,20005.0,,20023.0
8,8,17-08-99 00:01,Turkey,40.773,30.003,13.3,7.6 Mw ,17118.0,,17118.0,17127.0,45000.0,45000.0
9,9,16-09-78 15:35,Iran,33.242,57.382,8.2,7.4 Mw ,15000.0,15000.0,18220.0,25000.0,,25000.0
10,10,29-09-93 22:25,India,18.06,76.478,14.1,6.2 Mw ,9748.0,9748.0,9748.0,9748.0,,9748.0
11,11,19-09-85 13:17,Mexico,18.42,-102.38,15,8.0 Mw ,9500.0,9500.0,9500.0,9500.0,,9500.0
12,12,26-05-06 22:53,Indonesia,-7.961,110.446,12,6.4 Mw ,5749.0,5749.0,,,,5749.0
13,13,16-01-95 20:46,Japan,34.58,135.025,22,6.9 Mw ,5502.0,5530.0,6432.0,5297.0,,6432.0
14,14,28-12-74 12:11,Pakistan,35.026,72.898,12.5,6.2 Ms ,5300.0,5300.0,5300.0,,,5300.0
15,15,10-04-72 02:06,Iran,28.408,52.789,6,6.7 Mw ,5054.0,5054.0,5010.0,5057.0,,5057.0
16,16,23-12-72 06:29,Nicaragua,12.347,-86.128,7.3,6.2 Ms ,5000.0,5000.0,10000.0,10000.0,,10000.0
17,17,24-11-76 12:22,Turkey,39.082,44.031,8.9,7.0 Mw ,5000.0,5000.0,3900.0,3840.0,,5000.0
18,18,10-10-80 12:25,Algeria ,36.143,1.404,15,7.1 Mw ,5000.0,5000.0,3500.0,2633.0,,5000.0
19,19,30-05-98 06:22,Afghanistan,37.185,70.075,35.5,6.5 Mw ,4000.0,4000.0,4000.0,4700.0,,4700.0
20,20,25-07-69 22:49,China   ,21.612,111.809,3.4,5.9 Ms ,3000.0,3000.0,33.0,3000.0,,3000.0
21,21,23-11-80 18:34,Italy   ,40.788,15.31,6.9,6.9 Mw ,3000.0,4900.0,2483.0,4689.0,,4900.0
22,22,11-06-81 07:24,Iran ,29.858,57.686,17.3,6.6 Mw ,3000.0,3000.0,3000.0,2000.0,,3000.0
23,23,13-12-82 09:12,Yemen   ,14.675,44.223,7,6.2 Mw ,2800.0,2800.0,2800.0,1507.0,,2800.0
