Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
1976-07-27 19:42 	China	39.605	117.888	16.7	7.6 Mw 	655237	655237	242800	242000	
2005-10-08 03:50 	Pakistan	34.465	73.584	23.1	7.6 Mw 	87351	87351		73338	
2008-05-12 06:28 	China	31.002	103.322	19	7.9 Mw 	69195	88287		87476	
1990-06-20 21:00 	Iran	37.001	49.216	17.9	7.4 Mw 	45000	45000	35000	40000	
2003-12-26 01:56 	Iran	28.95	58.268	6	6.6 Mw 	31000	31000		26796	26271
1988-12-07 07:41 	Armenia	40.919	44.118	6.7	6.7 Mw 	25000	25000	25000	25000	
1976-02-04 09:01 	Guatemala	15.296	-89.145	12.3	7.5 Mw 	23000	23000	22870	23000	
2001-01-26 03:16 	India	23.402	70.287	23.3	7.6 Mw 	20023	20023	20023	20005	
1999-08-17 00:01 	Turkey	40.773	30.003	13.3	7.6 Mw 	17118		17118	17127	45000
1978-09-16 15:35 	Iran	33.242	57.382	8.2	7.4 Mw 	15000	15000	18220	25000	
1993-09-29 22:25 	India	18.06	76.478	14.1	6.2 Mw 	9748	9748	9748	9748	
1985-09-19 13:17 	Mexico	18.42	-102.38	15	8.0 Mw 	9500	9500	9500	9500	
2006-05-26 22:53 	Indonesia	-7.961	110.446	12	6.4 Mw 	5749	5749			
1995-01-16 20:46 	Japan	34.58	135.025	22	6.9 Mw 	5502	5530	6432	5297	
1974-12-28 12:11 	Pakistan	35.026	72.898	12.5	6.2 Ms 	5300	5300	5300		
1972-04-10 02:06 	Iran	28.408	52.789	6	6.7 Mw 	5054	5054	5010	5057	
1972-12-23 06:29 	Nicaragua	12.347	-86.128	7.3	6.2 Ms 	5000	5000	10000	10000	
1976-11-24 12:22 	Turkey	39.082	44.031	8.9	7.0 Mw 	5000	5000	3900	3840	
1980-10-10 12:25 	Algeria 	36.143	1.404	15	7.1 Mw 	5000	5000	3500	2633	
1998-05-30 06:22 	Afghanistan	37.185	70.075	35.5	6.5 Mw 	4000	4000	4000	4700	
1969-07-25 22:49 	China   	21.612	111.809	3.4	5.9 Ms 	3000	3000	33	3000	
1980-11-23 18:34 	Italy   	40.788	15.31	6.9	6.9 Mw 	3000	4900	2483	4689	
1981-06-11 07:24 	Iran 	29.858	57.686	17.3	6.6 Mw 	3000	3000	3000	2000	
1982-12-13 09:12 	Yemen   	14.675	44.223	7	6.2 Mw 	2800	2800	2800	1507	
1998-02-04 14:33 	Afghanistan   	37.08	70.004	17.6	5.9 Mw 	2323	2323	2323	2323	
